DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Semana epidem. 1º Sintomas(s) e Ano 1º Sintoma(s)
Período:2014-2017
"Semana epidem. 1º Sintomas(s)";"Em Branco";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"Em Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;6
"Semana 01";-;13;-;-;-;-;-;-;-;-;2;1;-;-;-;2;-;-;1;-;-;1;2;2;-;1;1;-;2;-;3;-;2;-;-;-;1;3;2;1;73;196;4948;6005;191;-;11453
"Semana 02";1;12;2;-;-;1;1;-;-;1;1;-;2;1;1;1;1;2;1;-;-;-;1;-;4;-;-;-;-;-;1;-;-;-;-;-;1;-;3;3;2;439;7372;7342;230;-;15426
"Semana 03";-;17;-;1;-;1;2;-;-;-;-;2;-;-;-;-;1;-;-;-;1;1;-;-;1;1;-;1;1;1;-;2;-;-;1;1;1;2;-;3;3;624;13303;8825;222;-;23018
"Semana 04";-;16;1;-;1;1;1;1;-;-;1;-;1;1;-;1;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;1;-;1;-;1;-;1;-;2;5;841;18597;10534;212;-;30224
"Semana 05";-;11;1;-;1;-;-;2;-;-;-;-;-;-;1;1;-;1;-;-;-;2;1;-;2;-;-;-;-;-;-;-;-;1;-;1;-;1;2;-;2;1299;24709;10948;266;-;37252
"Semana 06";-;12;-;-;1;-;-;2;-;-;3;-;-;2;3;-;1;2;-;-;4;-;-;-;-;1;-;1;1;-;-;-;-;2;-;-;-;4;-;1;4;1796;26489;13280;255;-;41864
"Semana 07";-;19;2;-;-;1;2;1;-;1;2;1;2;1;1;-;-;-;-;-;1;-;2;-;1;2;-;1;-;-;-;-;2;-;-;-;-;3;-;1;6;3029;32141;13870;280;-;49372
"Semana 08";-;17;-;2;-;1;-;-;-;2;-;2;-;1;1;1;-;-;2;-;2;1;-;1;2;-;-;-;3;-;-;-;1;-;1;-;-;3;3;1;6;3685;40334;13446;298;-;57816
"Semana 09";-;13;1;-;-;2;4;2;-;-;1;-;-;1;2;3;1;-;-;2;2;2;1;3;1;-;1;-;1;-;1;1;1;1;-;1;-;3;4;4;16;3739;52636;13317;245;-;70012
